quest_name,quest_type,jen,completion_condition
食事の準備,daily,200,献立決め・調理・配膳が完了し食卓に並んでいる（1食ごとに計上）
食後の片付け,daily,100,食器洗い・シンク清掃・テーブルとキッチン台の拭き掃除が完了している（1食ごとに計上）
洗濯（洗う〜干す）,daily,100,洗濯物の仕分け・洗濯・干す or 乾燥機セットまで完了している
洗濯物の取り込み・畳み・収納,daily,100,乾いた洗濯物が畳まれ所定の場所に収納されている
フロア掃除,daily,80,掃除機 or ワイパー等でリビング・廊下の床にゴミやホコリがない状態
お風呂掃除・湯張り,daily,100,浴槽・床・排水口が洗われ入浴可能な状態になっている
トイレ掃除,daily,50,便器・便座・床がさっと拭かれ清潔な状態
洗面台の清掃,daily,30,洗面ボウル・蛇口・鏡に水滴や汚れがない状態
ゴミ出し・分別,daily,60,ゴミの分別・袋まとめ・集積所への搬出・ゴミ袋交換まで完了
ベッドメイク,daily,20,掛け布団や枕が整えられている
部屋の整理整頓,daily,40,出しっぱなしの物が元の場所に戻され部屋が片付いている
郵便物・宅配便の確認・対応,daily,20,郵便受けを確認し仕分け済み。宅配便があれば受け取り済み
食材の買い出し,guerrilla,200,買い物リスト作成・購入・冷蔵庫やパントリーへの収納が完了
日用品の買い出し,guerrilla,150,必要な日用品が購入され所定の場所に収納されている
日用品の補充・詰め替え,guerrilla,30,トイレットペーパー・シャンプー・洗剤等の補充・詰め替えが完了
冷蔵庫の整理・食材管理,guerrilla,60,期限切れ食品の処分と庫内の整理が完了
キッチンの本格清掃,guerrilla,120,コンロ・シンク・電子レンジ・炊飯器等の油汚れや焦げが除去されている
換気扇・レンジフードの掃除,guerrilla,150,フィルター・ファンが洗浄され再セットされている
トイレの本格清掃,guerrilla,80,便器・タンク・壁・床・換気扇が隅々まで清掃されている
お風呂の本格清掃,guerrilla,150,カビ取り・水垢除去・パッキン清掃・鏡の曇り取りが完了
洗面台の本格清掃,guerrilla,60,排水口・蛇口・鏡・収納棚が徹底的に清掃されている
排水口の掃除,guerrilla,50,キッチン・浴室・洗面台の排水口のヌメリや詰まりが除去されている
窓拭き・サッシ掃除,guerrilla,100,窓ガラス内外と窓枠・サッシが拭き上げられている
ベランダ・バルコニー掃除,guerrilla,80,床面の掃き掃除 or 水洗いが完了している
全部屋の本格掃除機がけ,guerrilla,100,全部屋の床・家具の下・隅々まで掃除機がけが完了
床の水拭き・モップがけ,guerrilla,80,フローリングが水拭き or モップがけされている
家具・家電裏のホコリ取り,guerrilla,60,家具・家電の裏側や上部のホコリが除去されている
棚・照明・カーテンレールの埃取り,guerrilla,60,高所の棚・照明器具・カーテンレール等のホコリが除去されている
シーツ・寝具の洗濯・交換,guerrilla,100,シーツ・枕カバー・布団カバーが洗濯され新しいものがセットされている
タオル類の洗濯・交換,guerrilla,50,バス・フェイス・キッチンタオルが洗濯され新品に交換されている
アイロンがけ,guerrilla,60,シワのない状態で衣類がハンガーにかけられている
衣替え・クローゼット整理,guerrilla,250,季節に合った衣類の入れ替えと不要品の処分が完了
衣類のクリーニング出し・受け取り,guerrilla,40,クリーニング店への持ち込みと受け取り・収納が完了
洗濯槽の掃除,guerrilla,60,洗濯槽クリーナー等で洗浄が完了している
まな板・ふきんの除菌・漂白,guerrilla,30,漂白剤や熱湯で除菌処理が完了している
エアコンのフィルター掃除,guerrilla,80,フィルターが洗浄・乾燥され再セットされている
電球・電池の交換,guerrilla,30,切れた電球や電池が新品に交換されている
家の設備メンテナンス・修繕,guerrilla,100,壊れた箇所の修理や設備の点検・調整が完了している
粗大ゴミ・段ボールの処分,guerrilla,100,粗大ゴミの回収手配・搬出 or 段ボールの解体・資源ゴミ出しが完了
家計簿の記録,guerrilla,40,当日の収支がアプリ or 帳簿に記録されている
防災用品の点検,guerrilla,50,備蓄品の期限・数量が確認され不足分が補充されている
町内会・管理組合対応,guerrilla,50,回覧板・書類提出・会合参加等の必要な対応が完了している
玄関の掃除・靴整理,guerrilla,40,たたきの掃き掃除と靴の整理・下駄箱の整頓が完了
